Adam Cameron Drummond,110,0,1,1,1,,,,,,,1,1,1,1,1,1,1,1,,,,,,1,1,1,1,1,1,0,1,,1,1,1,1,1,1,0,1,0,1,0,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,,,,,4,4,18,1,1,1,0,0,0,0,,0,1,0,1,1,0,0,0,0,0,1,0,0,,1,1,1,,1,1,1,,1,1,,1,0,1,1,0,1,1,,1,1,,1,1,1,0,1,1,,1,1,1,1,,1,1,0,1,1,,1,1,1,,1,0,1,,
devilunknown,110,0,1,1,1,,,,,,,1,0,1,1,1,1,1,1,,,,,,0,1,1,1,0,0,0,0,,1,1,1,1,1,1,1,0,1,1,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,,,,,4,3,16,0,1,1,1,1,0,0,,0,0,1,1,0,0,1,1,0,1,0,1,1,,1,1,1,,1,1,1,,1,1,,1,1,1,1,1,0,1,,1,1,,1,1,1,1,1,1,,1,1,1,0,,1,1,1,1,1,,1,1,0,,1,1,1,,
Neha Koppikar,109,0,1,1,1,,,,,,,1,1,1,0,1,1,1,1,,,,,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,0,1,,1,1,1,1,1,1,0,1,1,1,1,,,,,,4,2,16,1,0,1,1,0,0,0,,1,1,0,0,0,0,0,0,0,1,0,0,0,,1,1,1,,1,1,1,,1,1,,1,1,1,1,1,0,1,,1,1,,1,1,1,1,1,1,,1,0,1,1,,1,1,1,1,1,,1,1,1,,1,1,1,,
Sora,103,0,1,1,1,,,,,,,1,1,1,1,1,1,1,1,,,,,,1,1,1,1,1,1,1,1,,1,1,0,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,,,,,4,0,5,1,0,1,1,0,0,1,,0,1,1,1,1,1,0,0,0,0,1,0,0,,1,1,1,,1,1,1,,1,1,,1,1,1,1,1,0,1,,1,1,,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,,1,1,1,,1,1,1,,
Sahibdeep Sodhi,102,0,1,1,1,,,,,,,1,0,1,0,1,0,0,0,,,,,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,0,1,1,1,,,1,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,1,1,1,,,,,,4,2,16,1,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,,1,1,1,,1,1,,1,1,1,1,1,0,1,,1,1,,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,,1,1,1,,1,1,1,,
manishbarnwal,99,0,1,1,1,,,,,,,1,1,1,1,1,0,1,1,,,,,,0,0,0,0,0,0,1,0,,1,0,1,1,1,1,1,0,1,1,1,,,1,1,1,1,1,0,1,,1,1,1,1,1,1,1,1,1,1,1,,,,,,4,0,16,1,1,0,1,0,0,1,,0,1,0,0,0,0,1,0,1,0,1,0,0,,1,1,1,,1,1,0,,1,1,,1,1,1,0,1,0,1,,1,1,,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,,1,1,1,,0,1,1,,
sreekaransrinath,97,0,1,1,1,,,,,,,1,1,0,0,1,1,1,1,,,,,,0,0,1,1,0,1,1,1,,1,0,1,1,0,1,1,1,1,1,1,,,1,1,1,1,0,0,1,,1,1,1,1,1,1,0,1,1,1,1,,,,,,4,4,10,1,0,0,1,0,0,1,,0,0,1,0,0,1,0,0,0,0,0,0,0,,1,1,1,,1,1,1,,1,1,,1,1,1,1,0,0,1,,1,1,,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,,1,1,1,,1,1,1,,
nimisha,93,0,1,1,1,,,,,,,1,1,1,1,1,1,0,0,,,,,,0,1,0,0,1,1,1,1,,0,0,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,,,,,4,2,8,1,0,1,1,0,0,0,,0,1,0,0,0,1,0,0,0,0,1,0,0,,1,1,1,,1,1,0,,1,1,,1,0,1,1,1,0,1,,1,1,,1,1,1,1,0,1,,1,0,1,1,,1,1,1,0,1,,1,1,1,,1,1,1,,
Dhriti,92,0,1,1,1,,,,,,,0,1,0,0,1,0,0,0,,,,,,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,1,0,,,1,1,0,0,0,0,0,,1,1,1,1,1,1,0,0,0,1,1,,,,,,4,1,28,1,0,0,1,1,0,1,,1,1,1,0,0,0,0,0,0,0,0,0,0,,1,1,1,,1,1,1,,1,1,,1,0,1,1,0,0,1,,1,1,,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,,1,1,0,,1,1,1,,
Siddharth Mehta,89,0,1,1,1,,,,,,,1,0,1,0,1,1,1,1,,,,,,0,0,1,0,0,0,0,0,,1,0,1,0,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,0,1,,,,,,4,0,9,1,1,0,1,0,0,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,,1,1,0,,1,1,,1,1,1,1,1,0,1,,1,1,,1,1,1,1,1,1,,1,1,1,1,,1,1,1,0,1,,1,1,1,,1,1,1,,
KhushiSharma,88,0,1,1,1,,,,,,,1,0,1,0,1,1,1,0,,,,,,0,0,0,0,0,0,0,0,,1,0,1,1,1,1,1,0,1,1,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,,,,,4,0,10,1,1,0,1,0,0,1,,0,0,0,0,0,0,0,0,0,0,1,0,0,,1,1,1,,1,1,0,,1,1,,1,1,1,1,0,0,1,,1,1,,1,1,1,1,1,1,,1,1,1,1,,1,1,1,0,1,,1,1,1,,1,1,1,,
Amrit Anand,87,0,1,1,1,,,,,,,1,0,1,1,1,1,1,1,,,,,,0,0,0,0,0,0,0,0,,1,0,1,1,1,0,1,1,1,1,0,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,,,,,4,4,5,0,0,0,1,0,0,1,,1,1,0,1,1,0,0,1,0,0,0,0,0,,1,1,1,,1,1,0,,1,0,,1,1,1,1,1,0,1,,1,1,,1,1,1,1,0,1,,1,0,1,0,,1,1,1,0,1,,1,1,1,,1,1,1,,
Keshav Garg,86,0,1,1,1,,,,,,,0,0,0,0,1,0,0,1,,,,,,1,1,1,1,1,1,1,1,,1,0,0,0,1,0,0,1,1,1,1,,,0,1,1,1,0,0,1,,1,1,1,1,1,1,1,1,1,1,1,,,,,,4,1,6,1,1,1,1,1,0,1,,1,1,0,1,0,1,0,0,0,0,0,0,0,,0,1,1,,0,1,0,,1,1,,1,0,1,0,1,0,1,,0,1,,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,,1,1,1,,1,1,1,,
Akshat Rana,87,0,1,1,1,,,,,,,1,0,1,0,1,1,1,1,,,,,,0,0,0,0,0,0,0,0,,0,0,1,1,1,1,1,0,1,1,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,1,1,1,1,,,,,,4,0,11,1,0,0,1,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,1,1,,1,1,1,,1,1,,1,1,1,1,0,0,1,,1,1,,1,1,1,1,1,1,,0,1,1,1,,1,1,1,0,1,,1,1,1,,1,1,1,,
